order,gender,home,university,major,before.university,post.university,qq.time,wechat.time,qq.strangers,qq.friends,qq.useful,qq.facilities,qq.knowledge,qq.easy,qq.privacy,qq.enjoyful,qq.habit,qq.social,qq.social.2,qq.important,qq.good,wechat.strangers,wechat.friends,wechat.useful,wechat.facilities,wechat.knowledge,wechat.easy,wechat.privacy,wechat.enjoyful,wechat.habit,wechat.social,wechat.social.2,wechat.important,wechat.good,第9题(功能各有所长),第9题(都用使用需求和使用场景),第9题(社交圈在QQ和微信大致相似),第9题(无所谓，随便用),第9题(其他)
62,1,1,1,2,1,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,0,0
63,1,3,3,3,2,3,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0
64,2,1,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,7,7,7,7,7,4,6,7,5,4,7,6,-3,-3,-3,-3,-3
65,1,3,1,1,2,2,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,6,5,5,6,6,4,4,6,6,4,6,5,-3,-3,-3,-3,-3
66,1,1,3,4,1,2,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,7,7,7,7,7,7,7,7,4,5,7,7,-3,-3,-3,-3,-3
67,2,1,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,6,6,6,6,4,5,7,6,3,3,5,-3,-3,-3,-3,-3
68,1,3,1,1,2,2,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,7,7,7,7,6,4,6,7,5,6,7,7,-3,-3,-3,-3,-3
69,1,2,1,2,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,6,7,7,7,7,5,6,7,5,5,5,6,-3,-3,-3,-3,-3
70,2,1,1,2,1,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,7,7,7,3,6,4,7,6,3,7,4,-3,-3,-3,-3,-3
71,2,1,1,2,3,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,7,7,7,7,7,4,7,7,4,4,7,5,-3,-3,-3,-3,-3
72,2,2,2,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7,7,7,7,7,5,7,7,7,5,7,6,-3,-3,-3,-3,-3
73,2,2,2,2,1,1,4,2,5,7,4,6,6,7,4,5,7,6,4,4,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
74,1,2,1,3,1,3,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,0,0,0
75,1,2,1,1,1,1,4,1,7,7,7,7,7,7,7,7,7,7,7,7,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
76,2,2,2,1,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,0
77,2,2,2,4,3,3,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,0,0,0
78,1,1,1,1,2,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,6,6,6,6,5,5,5,5,5,5,6,-3,-3,-3,-3,-3
79,2,2,1,2,1,3,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0
80,2,2,2,2,3,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,5,7,7,5,7,7,7,7,4,3,7,6,-3,-3,-3,-3,-3
81,2,1,1,1,1,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7,7,7,7,7,4,4,7,4,4,7,6,-3,-3,-3,-3,-3
82,2,2,2,2,2,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7,7,7,7,6,6,6,6,6,6,5,6,6,-3,-3,-3,-3,-3
83,2,2,2,2,3,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7,7,7,7,7,7,7,7,7,7,7,7,-3,-3,-3,-3,-3
84,1,3,1,4,1,3,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,0,0,1
85,2,2,2,5,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,0
86,2,3,3,1,3,3,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,1,1,0
87,1,3,1,1,1,2,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,7,7,7,7,7,7,7,5,7,7,6,-3,-3,-3,-3,-3
88,2,3,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7,7,7,7,7,7,7,7,4,6,7,7,-3,-3,-3,-3,-3
89,1,3,3,2,1,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,6,7,7,7,6,5,5,6,3,4,7,6,-3,-3,-3,-3,-3
90,2,3,1,2,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,5,6,6,6,6,4,5,6,5,4,6,5,-3,-3,-3,-3,-3
91,2,3,1,4,1,3,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0
92,1,3,1,1,1,3,4,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,0,0
93,2,3,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,5,5,5,5,5,5,5,5,4,5,5,-3,-3,-3,-3,-3
94,2,3,1,3,1,1,4,1,5,5,4,4,5,6,3,4,6,4,3,4,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
